target,text,clean_text
POSITIVE,@MarcusGdaCeleb hehe..you know I had to call you out on that! ,MarcusGdaCeleb heheyou know I had to call you out on that 
NEGATIVE,"going to now attempt to write my english essay due tomorrow, and i haven't even started ",going to now attempt to write my english essay due tomorrow and i havent even started 
NEGATIVE,@AlpacaFarmgirl Couldn't get the page to open. ,AlpacaFarmgirl Couldnt get the page to open 
NEGATIVE,damn! just realized it was last weeks  chapter...no manga this week ,damn just realized it was last weeks chapterno manga this week 
NEGATIVE,I have been sitting here and I still can't seem to figure out a creative tweet for my #squarespace entry ,I have been sitting here and I still cant seem to figure out a creative tweet for my squarespace entry 
POSITIVE,@littlefurybug WOOOO!  *sends a virtual marshmallow of congratulations* x,littlefurybug WOOOO sends a virtual marshmallow of congratulations x
NEGATIVE,Lost and Found  saw a cat that had been hit by car (on Shattuck betw. King and San Pablo): I was.. http://tinyurl.com/qq6l3m,Lost and Found saw a cat that had been hit by car on Shattuck betw King and San Pablo I was httptinyurlcom
NEGATIVE,"i want to watch the star trek movie... but instead i'm here, sad day ",i want to watch the star trek movie but instead im here sad day 
POSITIVE,"@atchoo haha i'll send you the link to the vid, Gus was being his cool self but CJ was pure presh! ",atchoo haha ill send you the link to the vid Gus was being his cool self but CJ was pure presh 
POSITIVE,"except the fact i totally HATE my Linguistics teacher. i feel pretty fine. tomorrow wedding, today im going home... life's good. ",except the fact i totally HATE my Linguistics teacher i feel pretty fine tomorrow wedding today im going home lifes good 
NEGATIVE,migraines are EVIL. but anyone who has ever had one knows that. especially when NOTHING helps. ,migraines are EVIL but anyone who has ever had one knows that especially when NOTHING helps 
NEGATIVE,"Home, and thinking which unfortunately was the thing I didn't want to do the most!!! ",Home and thinking which unfortunately was the thing I didnt want to do the most 
NEGATIVE,"I'm off today. Would luv to be going to Anfield tonight,but have no ticket  My mum is going to watch my 9 yr old cousin play in interval",Im off today Would luv to be going to Anfield tonightbut have no ticket My mum is going to watch my yr old cousin play in interval
NEGATIVE,"Bah, still no internets. BT have done their job, but @bebroadband  have ballsed up. ",Bah still no internets BT have done their job but bebroadband have ballsed up 
NEGATIVE,"@troytaylor86 I copied &amp; pasted, not workin for me ", I copied amp pasted not workin for me 
POSITIVE,off to make my confirmation..lata tweeps ,off to make my confirmationlata tweeps 
NEGATIVE,@JazNicole yes. Boo. But I can't forward.  u know effin loved.,JazNicole yes Boo But I cant forward u know effin loved
POSITIVE,@Kremnster I see that ,Kremnster I see that 
NEGATIVE,On way home from the beach... Listening to the Hannity show. Back to reality &amp; the Recession ,On way home from the beach Listening to the Hannity show Back to reality amp the Recession 
NEGATIVE,WhAt iS tHis iM in onE oF the MOst gHetto if not the GHettoEST sTorE evEr. Cant wAIt to geT hoMe.   &lt;3KisS mY SaSS (as In SaSsy)&lt;3,WhAt iS tHis iM in onE oF the MOst gHetto if not the GHettoEST sTorE evEr Cant wAIt to geT hoMe lt mY SaSS as In SaSsylt
POSITIVE,@FashionPrisoner good shit yesterday ,FashionPrisoner good shit yesterday 
NEGATIVE,"@ARetzena kasia and i tried to go last night and it was insanely busy, didn't even eat anything ",ARetzena kasia and i tried to go last night and it was insanely busy didnt even eat anything 
POSITIVE,ooh @sarahwong don't forget to check out Reguliersbreestraat in the evening  you're gonna have such a good time!!,ooh sarahwong dont forget to check out Reguliersbreestraat in the evening youre gonna have such a good time
NEGATIVE,"Just woke up, thinking about my drawing style...whaaaa i'm such a lazy ass ",Just woke up thinking about my drawing stylewhaaaa im such a lazy ass 
POSITIVE,@LadyWoodpecker I have been looking at your photo gallery - love the pictures ,LadyWoodpecker I have been looking at your photo gallery love the pictures 
POSITIVE,@theDebbyRyan DEBBY! i've met u b4 and talked to u on the phone/radio b4! ,theDebbyRyan DEBBY ive met u and talked to u on the phoneradio 
POSITIVE,@michelle_416 Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip , Get followers a day using wwwtweeteraddercom Once you add everyone you are on the train or pay vip 
POSITIVE,Done some positive affirmation now back to the Japanese yay for bank holiday Monday ,Done some positive affirmation now back to the Japanese yay for bank holiday Monday 
NEGATIVE,Hey @kknyrass ayyyyy whats up no solo FC 4 U I C   (kknyrass live &gt; http://ustre.am/1g6e),Hey kknyrass ayyyyy whats up no solo FC U I C kknyrass live gt httpustream
NEGATIVE,i miss seeing @NickSwisher at Sox games ,i miss seeing NickSwisher at Sox games 
POSITIVE,@beameanie Sounds like you had a similar movie experience. I blame Jason. He attracts kids. Maybe u just knowing him attracts kids to u ,beameanie Sounds like you had a similar movie experience I blame Jason He attracts kids Maybe u just knowing him attracts kids to u 
POSITIVE,what! babe!! lol  its not my fault! your the one with a hottie butt!!,what babe lol its not my fault your the one with a hottie butt
NEGATIVE,"@tommcfly plz say &quot;Happy Birthday Or , Roni &amp; Mickey!&quot; plz plz plz  xx",tommcfly plz say quotHappy Birthday Or Roni amp Mickeyquot plz plz plz xx
POSITIVE,@BonesCrazy24 They'll have to face the music someday! , Theyll have to face the music someday 
NEGATIVE,"someone please drive me down to a farm, let me feed pigs and ride horses! anyone know a farmer?who will let me?  ambition for life now. &lt;3",someone please drive me down to a farm let me feed pigs and ride horses anyone know a farmerwho will let me ambition for life now lt
POSITIVE,Sittin in class...still recovering from all of CC's Tweets last nite ,Sittin in classstill recovering from all of CCs Tweets last nite 
POSITIVE,@futureai09 i know and first hour doesn't start til 11:00!!!! , i know and first hour doesnt start til 
POSITIVE,looking for pals on twitter - say hello and follow me ,looking for pals on twitter say hello and follow me 
NEGATIVE,@kentwalls i heard once u get 1 they r addictive. i can't wait to get my first tat but have to wait till i move out.house rule no tats ,kentwalls i heard once u get they r addictive i cant wait to get my first tat but have to wait till i move outhouse rule no tats 
NEGATIVE,i fail for not bringing my pop bottle for discount refills.  -Just.,i fail for not bringing my pop bottle for discount refills Just
NEGATIVE,been a boring weekend after a wonderful week! Such is life. ,been a boring weekend after a wonderful week Such is life 
NEGATIVE,"Week 2 of training, exam 1 ",Week of training exam 
POSITIVE,SO EXCITED to dress ULTRA 80'S FOR SET TOMORROW!!!! OOOOOOhhhh the make-up ideas I am getting ,SO EXCITED to dress ULTRA S FOR SET TOMORROW OOOOOOhhhh the makeup ideas I am getting 
NEGATIVE,I wish we didn't have to leave today. ,I wish we didnt have to leave today 
NEGATIVE,@Tamarzipan dunno...just my mums card...my mum didnt buy me it.... ,Tamarzipan dunnojust my mums cardmy mum didnt buy me it 
NEGATIVE,"Going to bed, to tired to watch end of movie ",Going to bed to tired to watch end of movie 
NEGATIVE,@cakiiebakiie my ethics personal studyy  it's gonna be evilll.,cakiiebakiie my ethics personal studyy its gonna be evilll
POSITIVE,"I wanted to resist, but couldnï¿½t... Iï¿½m following Oprah! ",I wanted to resist but couldnï¿½t Iï¿½m following Oprah 
NEGATIVE,is the worst sister in the world!  http://plurk.com/p/x55cv,is the worst sister in the world httpplurkcomp
POSITIVE,@cambriadetken ahh lucky I have one more week and then finals! I'm a junior too  I'm graduating a semester early )),cambriadetken ahh lucky I have one more week and then finals Im a junior too Im graduating a semester early 
NEGATIVE,"Had a dire day,  my 3 year old was burnt with hot water and is now bandaged head to toe in bed  Hurts my heart to hear him cry in pain ",Had a dire day my year old was burnt with hot water and is now bandaged head to toe in bed Hurts my heart to hear him cry in pain 
POSITIVE,"@SuperWiki http://twitpic.com/49c6e - I love this picture of the guys !  Of course, Jensen stays in character   Jared wants to belt ou ...",SuperWiki httptwitpiccom I love this picture of the guys Of course Jensen stays in character Jared wants to belt ou 
POSITIVE,@MikeMckenzy Jack &quot;The Fridge&quot; Mckenzy.   maybe he'll play for da Bears one day,MikeMckenzy Jack quotThe Fridgequot Mckenzy maybe hell play for da Bears one day
NEGATIVE,studying for exams ,studying for exams 
POSITIVE,"@ajaedandridge lol, goodnight holla @ you later! ",ajaedandridge lol goodnight holla you later 
NEGATIVE,Trying to stop thinking about it all and failing at it miserably ,Trying to stop thinking about it all and failing at it miserably 
POSITIVE,now end of work.....go home...make some to eat and listen to some gangsta shit ,now end of workgo homemake some to eat and listen to some gangsta shit 
NEGATIVE,cant find anything to watch on the tv ,cant find anything to watch on the tv 
NEGATIVE,"When I woke up this morning I thought that's all a terrible nightmare but it's true, Candice got released. I still can't believe it. ",When I woke up this morning I thought thats all a terrible nightmare but its true Candice got released I still cant believe it 
POSITIVE,@tommcfly You are reading the saga of twilight ? I read all are amazing  you enjoying this? answer me and make me happy â¥,tommcfly You are reading the saga of twilight I read all are amazing you enjoying this answer me and make me happy â¥
NEGATIVE,"if it's summer, where's the sun? if it's vacation, why am I still here? I wanna go to California ",if its summer wheres the sun if its vacation why am I still here I wanna go to California 
POSITIVE,@emmaXIII i'm sorry to hear about college i hope stuff get's better ,emmaXIII im sorry to hear about college i hope stuff gets better 
POSITIVE,@kcneon I like it too. Especially since it cost $0 since she borrowed it from a friend. ,kcneon I like it too Especially since it cost since she borrowed it from a friend 
POSITIVE,@EGO_so_BIG lmao sorry boooo  i kno now,EGOsoBIG lmao sorry boooo i kno now
NEGATIVE,"@darvin111 you don't even care about there, their, and they're.  ", you dont even care about there their and theyre 
POSITIVE,Test is over! The shelter door still works!  I'm going out to make some changes to the closets I ordered.,Test is over The shelter door still works Im going out to make some changes to the closets I ordered
POSITIVE," Tired.It's Monday.School,Smelyalata - . -''", TiredIts MondaySchoolSmelyalata 
POSITIVE,#MrTweet I recommend @WebArchitects because it's my company ,MrTweet I recommend WebArchitects because its my company 
NEGATIVE,"Gunna go try and take an ice cold shower,even tho i hate cold showers. My whole body is on fire ",Gunna go try and take an ice cold showereven tho i hate cold showers My whole body is on fire 
POSITIVE,"@gfalcone601 gi this sounds stupid, can u not tell any1 bout the pic tht we sent of siobhan cos no1 can no about it! reply so we no plz  x", gi this sounds stupid can u not tell bout the pic tht we sent of siobhan cos can no about it reply so we no plz x
POSITIVE,me and @MegannAliice are having a nice chat on msn ,me and MegannAliice are having a nice chat on msn 
NEGATIVE,"Fail, Dorans don't have my phone  Although the barman did say they can turn up a few days later so fingers crossed!",Fail Dorans dont have my phone Although the barman did say they can turn up a few days later so fingers crossed
POSITIVE,"cant sleep, had the weirdest nightmares in my life, got the lights on now, said my prayers! i guess im not sleeping anytime soon ",cant sleep had the weirdest nightmares in my life got the lights on now said my prayers i guess im not sleeping anytime soon 
NEGATIVE,Finally get to lay down for a bit i have a major headache ,Finally get to lay down for a bit i have a major headache 
POSITIVE,hey who wants to go swimming at Rachel's?! ,hey who wants to go swimming at Rachels 
POSITIVE,"even though he spelt Ellie wrong, im so happy!  yay",even though he spelt Ellie wrong im so happy yay
POSITIVE,@charwills19 one day i will get a new laptop and you can have mine , one day i will get a new laptop and you can have mine 
NEGATIVE,"Wedding today... not mine :L  urgh, I hate having to dress up    Nobody gets that though.... *total tomboy*",Wedding today not mine L urgh I hate having to dress up Nobody gets that though total tomboy
NEGATIVE,paying tribute to ed rip ,paying tribute to ed rip 
NEGATIVE,EWWW!!! one of the small campers just put melted chocolate in my hair...you see what i get for leaving the office and try to be helpful ,EWWW one of the small campers just put melted chocolate in my hairyou see what i get for leaving the office and try to be helpful 
NEGATIVE,oh what a night ,oh what a night 
POSITIVE,currently: putting the finishing touches together for my new/old blog - looking for a wp theme with integrated twitter and having a brew ,currently putting the finishing touches together for my newold blog looking for a wp theme with integrated twitter and having a brew 
POSITIVE,friends  tomorrow we wil rock the Club ;D,friends tomorrow we wil rock the Club D
NEGATIVE,It's lovely outtttttttt.. won't last long though.. supposed to get worst storms of the year tonight &amp; probably tornados. ,Its lovely outtttttttt wont last long though supposed to get worst storms of the year tonight amp probably tornados 
NEGATIVE,Sun burns are noooo fun  I'm bored...sittin at home watching Bride Wars with my sister =D Have a good weekend everyone =D,Sun burns are noooo fun Im boredsittin at home watching Bride Wars with my sister D Have a good weekend everyone D
NEGATIVE,@dompap Beer me five? I'm confused ,dompap Beer me five Im confused 
NEGATIVE,I don't miss iStock until it goes away ,I dont miss iStock until it goes away 
NEGATIVE,Grandpa has pnemonia  in the hospital for 3 days. Sucks! But he will get better!,Grandpa has pnemonia in the hospital for days Sucks But he will get better
NEGATIVE,"is at work, throat is still sore ",is at work throat is still sore 
NEGATIVE,hey taylor do you know of anywhere i can see the dateline nbc thing from last night i missed it ,hey taylor do you know of anywhere i can see the dateline nbc thing from last night i missed it 
NEGATIVE,my phone kept on dying on me. no warranty. ,my phone kept on dying on me no warranty 
NEGATIVE,"im starving now, hix... ",im starving now hix 
NEGATIVE,"Can anyone tell me how to create a story from scratch on whrrl.com? Trying, but not succeeding. In fact, can't even figure out step 1! ",Can anyone tell me how to create a story from scratch on whrrlcom Trying but not succeeding In fact cant even figure out step 
POSITIVE,@raechelmakena yay! he can become bffs with my choxie ,raechelmakena yay he can become bffs with my choxie 
NEGATIVE,@MyBigBreak  Meeps.  I haven't been following Susan Boyle news - is she having a hard time with the fame machine?  ,MyBigBreak Meeps I havent been following Susan Boyle news is she having a hard time with the fame machine 
POSITIVE,"ï¿½ i am loving china glaze, does anyone have any suggestions on nice colours ? ",ï¿½ i am loving china glaze does anyone have any suggestions on nice colours 
POSITIVE,@Ezsther gefeliciteerd! ,Ezsther gefeliciteerd 
POSITIVE,DAMN  Made $274/hr. probably going for even more.,DAMN Made hr probably going for even more
NEGATIVE,@CLDWL YES i noticed u were gpne  OCEANCURRENTS,CLDWL YES i noticed u were gpne OCEANCURRENTS
NEGATIVE,@lolstephy pls just shutup about splendour n dont talk about it till next year... ,lolstephy pls just shutup about splendour n dont talk about it till next year 
POSITIVE,"@ispikedthepunch um, i'm kind of in love with Joe and follow the whole band like an obessive fangirl. so yes i like the show ",ispikedthepunch um im kind of in love with Joe and follow the whole band like an obessive fangirl so yes i like the show 
POSITIVE,Go here and chat with me  http://bit.ly/JpLJQ,Go here and chat with me httpbitlyJpLJQ
POSITIVE,I just watched the movie &quot;THE NOTEBOOK&quot; &amp; it was a good film ,I just watched the movie quotTHE NOTEBOOKquot amp it was a good film 
POSITIVE,@CashiToHo We have more of a dressing code than a uniform. I was always jealous of girls from religious schools who had to wear skirts. ,CashiToHo We have more of a dressing code than a uniform I was always jealous of girls from religious schools who had to wear skirts 
NEGATIVE,@F_A_B_ULOUS all are taken dear ,FABULOUS all are taken dear 
POSITIVE,best day ever. first day of summer and i have lines ,best day ever first day of summer and i have lines 
POSITIVE,is You to me are everything  (music) *singing* http://plurk.com/p/wxonj,is You to me are everything music singing httpplurkcompwxonj
POSITIVE,"@ebellis FoSho. SilverTail is one company to watch. Right solution, right time. We share common interest, bizlogic flaws. ",ebellis FoSho SilverTail is one company to watch Right solution right time We share common interest bizlogic flaws 
POSITIVE,@emzzz321 So? You said to me &quot;Youtube is my home.&quot; Saaaaaaaahhhdd.... , So You said to me quotYoutube is my homequot Saaaaaaaahhhdd 
POSITIVE,Happy Victoria Day folks ! ,Happy Victoria Day folks 
POSITIVE,@Flo_05 awww you missed me???  hehe sorry!! oh and i found your other rubber ., awww you missed me hehe sorry oh and i found your other rubber 
NEGATIVE,@PettyshkaDM nooo  you're so lucky that you have Twitter in the phone. I'm jealous of you ,PettyshkaDM nooo youre so lucky that you have Twitter in the phone Im jealous of you 
NEGATIVE,"I don't like the trendy arm on my couch, you can't lean on it ",I dont like the trendy arm on my couch you cant lean on it 
NEGATIVE,@samahsharif ohh great  xoxo,samahsharif ohh great xoxo
NEGATIVE,here we go againn.... ,here we go againn 
NEGATIVE,chris ryan deleted the reply he sent to me!  i will go and cry now,chris ryan deleted the reply he sent to me i will go and cry now
POSITIVE,Impulse purchasing a FlipFold after seeing Sheldon use one in The Big Bang Theory  http://bit.ly/cFgNN,Impulse purchasing a FlipFold after seeing Sheldon use one in The Big Bang Theory httpbitlycFgNN
NEGATIVE,ahhh - sunshine...but that means gardening too ,ahhh sunshinebut that means gardening too 
POSITIVE,@likeomgitserika haha. Yup! I had to find the strongest cologne after watching SAW 5. LOL.  Scents sorta affect the unconscious. ,likeomgitserika haha Yup I had to find the strongest cologne after watching SAW LOL Scents sorta affect the unconscious 
NEGATIVE,"Yeah, getting a sty on the inside of your eyelid turns out to be not so much fun. ouchie. ",Yeah getting a sty on the inside of your eyelid turns out to be not so much fun ouchie 
NEGATIVE,@j3_Vaillancourt I will watch what I say , I will watch what I say 
POSITIVE,"@xmayaarix ooohh I haven't heard of those, will have to try to find them at the bookstore or Staples later thanks for the rec! ",xmayaarix ooohh I havent heard of those will have to try to find them at the bookstore or Staples later thanks for the rec 
NEGATIVE,"@goldswallow very very little, for money is a little tight this month sadly ",goldswallow very very little for money is a little tight this month sadly 
NEGATIVE,@Pmelks did you ever end up finishing it? and p.s. you're wearing my shoes  we really need to note who's is who's loll.,Pmelks did you ever end up finishing it and ps youre wearing my shoes we really need to note whos is whos loll
NEGATIVE,aish. i didn't get my majors ,aish i didnt get my majors 
POSITIVE,"is well bored in Science, meant to be revising ",is well bored in Science meant to be revising 
POSITIVE,Big headache. But rollercoasters are insanely fun  I conquered the titan.,Big headache But rollercoasters are insanely fun I conquered the titan
NEGATIVE,"Ok, now that they've &quot;christened&quot; their new ball park... we can beat them now! LOL! Oh Bees..... ",Ok now that theyve quotchristenedquot their new ball park we can beat them now LOL Oh Bees 
POSITIVE,"I love the day after a show, it's so wonderfully lazy.  @susjelut Gewoon en beetje verkouden, niets speciaals.",I love the day after a show its so wonderfully lazy susjelut Gewoon en beetje verkouden niets speciaals
POSITIVE,@merlinsbeard Right?  I hate making decisions!  Are we going to lunch today?  Call you in 10 ,merlinsbeard Right I hate making decisions Are we going to lunch today Call you in 
NEGATIVE,still trying to book a hotel in London for may...can anyone rec a hotel? budget chain hotels are all full ,still trying to book a hotel in London for maycan anyone rec a hotel budget chain hotels are all full 
POSITIVE,@xsparkage lmao! my mom and I used to make jokes about ramming speed all the time! you influenced me recalling some fond memories. ,xsparkage lmao my mom and I used to make jokes about ramming speed all the time you influenced me recalling some fond memories 
NEGATIVE,@DevonShameless unfortunately my madre booked the plane ticket to philly on the 18th  we'll figure something outttt&lt;3,DevonShameless unfortunately my madre booked the plane ticket to philly on the well figure something outtttlt
NEGATIVE,"xcadaverx, poor guy. it's really over... ",xcadaverx poor guy its really over 
NEGATIVE,"@deidre_1922  ummmmhmmm SURE YOU ARE! LOL and I'm in NUPEVILLE, Indiana! LOL", ummmmhmmm SURE YOU ARE LOL and Im in NUPEVILLE Indiana LOL
POSITIVE,@molds13 get your butt on Vevmo and gab with me and Stacee , get your butt on Vevmo and gab with me and Stacee 
POSITIVE,looking forward to a week off ,looking forward to a week off 
POSITIVE,@Maryssfromparis have fun in Hawaii !!!  &amp;you know it will be more fun . haha . love ya girl ! keep up the awsome work !,Maryssfromparis have fun in Hawaii ampyou know it will be more fun haha love ya girl keep up the awsome work 
POSITIVE,2day Was a Great Day... My Friends Are Soooo Cool  nighty night, Was a Great Day My Friends Are Soooo Cool nighty night
NEGATIVE,Happy I get to hear Lupe's New song...sucks that it got leaked but It makes me happy to rap...if only I had some chance to be signed ,Happy I get to hear Lupes New songsucks that it got leaked but It makes me happy to rapif only I had some chance to be signed 
POSITIVE,@FeliciaSlattery Good for you to give yourself the experience...and your girls' the role model!! ,FeliciaSlattery Good for you to give yourself the experienceand your girls the role model 
POSITIVE,Brrr.  Looks like it might snow on Sunday.  Need to make some homey warm winter food.  Stew anyone?    http://bit.ly/f7mLH,Brrr Looks like it might snow on Sunday Need to make some homey warm winter food Stew anyone httpbitly
NEGATIVE,Watching the Super 14 final.  Not hopeful for the Chiefs... ,Watching the Super final Not hopeful for the Chiefs 
NEGATIVE,not im school today yayy ! bt jt  have to study  not cool,not im school today yayy bt jt have to study not cool
NEGATIVE,"@tinja69 say that again in english: you cant go because its on a school night, but you want to go ", say that again in english you cant go because its on a school night but you want to go 
POSITIVE,"@ddlovato hope you're having fun in europe  come to manchester, UK! better than london ;) xox",ddlovato hope youre having fun in europe come to manchester UK better than london xox
POSITIVE,Off To Church! ,Off To Church 
POSITIVE,"@fistikal Agreed again....stable, good build quality, and good specs. ",fistikal Agreed againstable good build quality and good specs 
NEGATIVE,"@defythestars why, what happen? ",defythestars why what happen 
POSITIVE,Yipee just signed up for an e-course with @creativethurs  So happy been waiting for this for so LONG!,Yipee just signed up for an ecourse with creativethurs So happy been waiting for this for so LONG
POSITIVE,I just signed my lease.  let the moving fun begin!  ,I just signed my lease let the moving fun begin 
NEGATIVE,@MandyyJirouxx  ur now going to have 7 yrs of bad luck. sorry ,MandyyJirouxx ur now going to have yrs of bad luck sorry 
NEGATIVE,@cookio  are you going to remove me ?  ,cookio are you going to remove me 
NEGATIVE,headache ,headache 
NEGATIVE,"@delustre He's still in hosp, Joss says he prob needs more plastic surgery... Police were amazed that he made it, apparently... ",delustre Hes still in hosp Joss says he prob needs more plastic surgery Police were amazed that he made it apparently 
POSITIVE,@ddlovato Yes Please. Im So Excited (: This Albums Goiing ToO Be The Best Ever.      Arghhh ,ddlovato Yes Please Im So Excited This Albums Goiing ToO Be The Best Ever Arghhh 
POSITIVE,@Bridget_D hey i aint mad at u for the run...love to eat...that's why i work out!! hit me up if u eva wanta runnin partner ,BridgetD hey i aint mad at u for the runlove to eatthats why i work out hit me up if u eva wanta runnin partner 
NEGATIVE,Not a good end to night... Magic lose and I got really sick! ,Not a good end to night Magic lose and I got really sick 
NEGATIVE,@Sharisssse uh ohhh nooo good. ,Sharisssse uh ohhh nooo good 
POSITIVE,@moosep No worries. I didn't take it as a harse comment.  Sorry you've had a rough day.,moosep No worries I didnt take it as a harse comment Sorry youve had a rough day
NEGATIVE,@DIVACANDICEM  I was looking forward to seeing you on TV again. I hated the news I saw this morning!,DIVACANDICEM I was looking forward to seeing you on TV again I hated the news I saw this morning
POSITIVE,@blitzergrayson Yes. &amp; you're from Bulacan ,blitzergrayson Yes amp youre from Bulacan 
NEGATIVE,There is a helicoptor above my house shining that search light everywhere! Omg... ,There is a helicoptor above my house shining that search light everywhere Omg 
POSITIVE,@NBCConnecticut - Post a complaint about the teacher at www.TeacherComplaints.com  Tell your friends and other students to do the same ,NBCConnecticut Post a complaint about the teacher at wwwTeacherComplaintscom Tell your friends and other students to do the same 
NEGATIVE,is swamped at work...not too many updates coming from me today ,is swamped at worknot too many updates coming from me today 
NEGATIVE,@shankargan That's not a good news ,shankargan Thats not a good news 
NEGATIVE,@DropDeadAmy But I dont wanna go anywhere cuz im talking to Ryan. and I cant talk to him if im not at home ,DropDeadAmy But I dont wanna go anywhere cuz im talking to Ryan and I cant talk to him if im not at home 
POSITIVE,@emilyivey I didn't know you had a blog! URL pleazzzze! ,emilyivey I didnt know you had a blog URL pleazzzze 
NEGATIVE,"Time for a break. Lunch, a cuppa and catch some rays. My brain's aching from sitting at PC for hours doing Uni work ",Time for a break Lunch a cuppa and catch some rays My brains aching from sitting at PC for hours doing Uni work 
POSITIVE,@JustBeeingBee shut up im tired of talkin to your stupid ass  go read my status and let it soak in to your sad ass,JustBeeingBee shut up im tired of talkin to your stupid ass go read my status and let it soak in to your sad ass
NEGATIVE,we were together for like 7 months.. it hurts pretty bad. especially  when you feel like it hurts you way more than them ,we were together for like months it hurts pretty bad especially when you feel like it hurts you way more than them 
POSITIVE,Life doesn't have an undo button...but it DOES have a new document tab. ,Life doesnt have an undo buttonbut it DOES have a new document tab 
POSITIVE,@ie89master It will be all about /Lebron &amp; Shaq..and Hideo?  , It will be all about Lebron amp Shaqand Hideo 
POSITIVE,We showing the lakers how to do magic ,We showing the lakers how to do magic 
NEGATIVE,@dolcevita10 yeah me to , yeah me to 
POSITIVE,Thunder and lightning. Woo! Awesome  #fb,Thunder and lightning Woo Awesome fb
POSITIVE,http://twitpic.com/7gqv6 - Just a 5 min walk from the house ,httptwitpiccom Just a min walk from the house 
NEGATIVE,@Lhasapso killed my itunes  uninstalling.?,Lhasapso killed my itunes uninstalling
NEGATIVE,"had a good night, but sad tomorrow is andys last dayy ",had a good night but sad tomorrow is andys last dayy 
NEGATIVE,"has woken up feeling like crap,so is going back to bed for a while ",has woken up feeling like crapso is going back to bed for a while 
POSITIVE,"thanks to all who are following me, much appreciated ",thanks to all who are following me much appreciated 
POSITIVE,@nicsknots am currently making cordial - thanks for the recipe.  Finally I have citric acid - loads of it ,nicsknots am currently making cordial thanks for the recipe Finally I have citric acid loads of it 
POSITIVE,@hollymadison123 sounds like fun! , sounds like fun 
NEGATIVE,@Silentending I'm over worked... I need beer... Abs found out I'm working the Monday public holiday ,Silentending Im over worked I need beer Abs found out Im working the Monday public holiday 
NEGATIVE,@w00dRabbit *appalled* But I am always good.... *sigh* , appalled But I am always good sigh 
NEGATIVE,ive gotta go to school soon!   WHY I DONT EVEN LIKE SMOOTHIES!,ive gotta go to school soon WHY I DONT EVEN LIKE SMOOTHIES
NEGATIVE,@lrnevil i wish   still depends really.  im going to start the school on the 22nd but i just realized there is orientation for it and,lrnevil i wish still depends really im going to start the school on the but i just realized there is orientation for it and
POSITIVE,@EastDallasAlice thanx ,EastDallasAlice thanx 
NEGATIVE,@iamdiddy he needs to come to da hornets ,iamdiddy he needs to come to da hornets 
POSITIVE,@ravensvoice Saw @CBR asking for peeps at Heroes Con. You know I'm good for helping out at SDCC. ,ravensvoice Saw CBR asking for peeps at Heroes Con You know Im good for helping out at SDCC 
POSITIVE,@s_soliloquy Cool. I'm inside. ,ssoliloquy Cool Im inside 
NEGATIVE,@bludog61 Mornin! I missed it.  I was at my friends bday, Mornin I missed it I was at my friends bday
POSITIVE,"@SofiaMiller why do you know Tagalog? i'm not really a native speaker of Tagalog, but i know some stuff.  this is cool! lol.",SofiaMiller why do you know Tagalog im not really a native speaker of Tagalog but i know some stuff this is cool lol
NEGATIVE,"@piparkaq Yep, it's a tough world  Totally haven't played any rhythm games for a loooong time.",piparkaq Yep its a tough world Totally havent played any rhythm games for a loooong time
NEGATIVE,"my camera is not working, holy eeeffff ",my camera is not working holy eeeffff 
POSITIVE,@DEEJAY_BOOGIE ya we did trying to beat traffic but ya hope to be back soon ,DEEJAYBOOGIE ya we did trying to beat traffic but ya hope to be back soon 
POSITIVE,@JoeJonas1Fan1 i LOVE that song!!!  its an amazing song..cant wait to see her at the concert, i LOVE that song its an amazing songcant wait to see her at the concert
POSITIVE,"is discovering the coolness that is blip.fm, in case it wasn't clear ",is discovering the coolness that is blipfm in case it wasnt clear 
POSITIVE,@FelicityMoore I mass &quot;marked as read&quot;. Then quickly scanned the April ones just in case I hadn't read something important ,FelicityMoore I mass quotmarked as readquot Then quickly scanned the April ones just in case I hadnt read something important 
NEGATIVE,Heartbroken again!!!  ,Heartbroken again 
POSITIVE,changed my twitter background finally ,changed my twitter background finally 
POSITIVE,"oh man...only 4 days of school left, and I'm pretty sure I exempt out of all my exams...oh man oh man ",oh manonly days of school left and Im pretty sure I exempt out of all my examsoh man oh man 
NEGATIVE,"@trouble0106 Yikes, what happened to your hand? Poor you! ", Yikes what happened to your hand Poor you 
POSITIVE,"Good morning everyone!! I hope you have a fabulous day! I miss you, hannah. I love you Jake &lt;3 be safe everyone. ",Good morning everyone I hope you have a fabulous day I miss you hannah I love you Jake lt be safe everyone 
POSITIVE,@FranKoUK guitar lessons soundsss good  when?  xx,FranKoUK guitar lessons soundsss good when xx
NEGATIVE,Mmm hot tub at a friends place... felt great! Did nothing for my knee/ankle.  ,Mmm hot tub at a friends place felt great Did nothing for my kneeankle 
NEGATIVE,I am so burnt! ,I am so burnt 
NEGATIVE,@joeferg hope everything is okay ,joeferg hope everything is okay 
NEGATIVE,"@aplusk they have nudity in commercials in other countries, why are we so backwards in the US?  ",aplusk they have nudity in commercials in other countries why are we so backwards in the US 
